id,user,date,transaction_type,amount
36,f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-20,DEBIT,64972
37,f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-06,DEBIT,80247
38,f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-21,CREDIT,80601
39,f5abc955-889d-4a17-87b9-45b362eb673b,2020-02-08,DEBIT,43621
40,f5abc955-889d-4a17-87b9-45b362eb673b,2020-08-31,DEBIT,46155
41,f5abc955-889d-4a17-87b9-45b362eb673b,2020-07-24,CREDIT,83347
42,f5abc955-889d-4a17-87b9-45b362eb673b,2020-10-30,DEBIT,13801
43,f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-23,CREDIT,80705
44,f5abc955-889d-4a17-87b9-45b362eb673b,2020-12-29,DEBIT,24683
45,f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-08,DEBIT,48109
46,f5abc955-889d-4a17-87b9-45b362eb673b,2020-11-04,CREDIT,93590
47,f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-08,DEBIT,81355
48,f5abc955-889d-4a17-87b9-45b362eb673b,2020-03-10,CREDIT,33894
49,f5abc955-889d-4a17-87b9-45b362eb673b,2020-04-17,DEBIT,47633
50,f5abc955-889d-4a17-87b9-45b362eb673b,2020-06-23,CREDIT,114
51,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-02-01,DEBIT,90768
52,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-02-20,DEBIT,22
53,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-10-04,DEBIT,73296
54,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-02-12,DEBIT,81655
55,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-07-15,CREDIT,24106
56,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-11-06,CREDIT,77527
57,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-10-15,CREDIT,72272
58,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-05-16,CREDIT,89498
59,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-12-01,CREDIT,25811
60,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-09-08,CREDIT,11740
61,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-09-12,DEBIT,44835
62,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-09-08,DEBIT,57544
63,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-05-22,DEBIT,8558
64,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-10-09,CREDIT,21818
65,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-06-03,DEBIT,27545
66,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-05-14,DEBIT,30120
67,b7fa4071-5883-4ac6-830e-4bb5a4cd7826,2020-07-09,CREDIT,93011
68,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-02-14,CREDIT,81129
69,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-01-04,CREDIT,36561
70,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-06-10,DEBIT,97350
71,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-08-23,CREDIT,60233
72,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-12-08,DEBIT,36794
73,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-05-26,DEBIT,57197
74,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-10-30,DEBIT,92415
75,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-01-17,DEBIT,37623
76,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-03-04,CREDIT,76348
77,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-03-16,DEBIT,26632
78,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-12-21,DEBIT,83110
79,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-08-29,DEBIT,65235
80,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-08-12,DEBIT,68672
81,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-02-22,DEBIT,73838
82,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-06-29,CREDIT,13051
83,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-02-05,DEBIT,49313
84,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-09-20,DEBIT,50468
85,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-12-04,DEBIT,36959
86,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-07-27,CREDIT,53861
87,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-09-28,CREDIT,22040
88,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-04-18,DEBIT,43526
89,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-05-11,CREDIT,49598
90,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-05-31,CREDIT,70312
91,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-04-11,DEBIT,74826
92,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-07-02,CREDIT,63983
93,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-11-09,CREDIT,84951
94,bb1b5797-6946-4a40-a0e6-3c02790ecf08,2020-06-30,DEBIT,38883
95,bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-11-19,DEBIT,42071
96,bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-05-28,CREDIT,66550
97,bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-09-15,DEBIT,41101
98,bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-10-07,CREDIT,99375
99,bfc8b33d-6e34-406b-8720-ba10ec874b64,2020-08-30,DEBIT,73004
100,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-02,DEBIT,41063
101,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-05-17,CREDIT,43746
102,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-31,DEBIT,90146
103,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-07-28,CREDIT,53750
104,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-06-11,DEBIT,81312
105,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-03-28,DEBIT,86295
106,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-06-13,DEBIT,78542
107,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-04-23,CREDIT,91204
108,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-16,DEBIT,82804
109,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-10-02,DEBIT,84740
110,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-01-18,CREDIT,13543
111,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-02,CREDIT,82871
112,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-21,DEBIT,89024
113,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-05-31,DEBIT,4795
114,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-03-24,DEBIT,56865
115,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-09-03,CREDIT,39459
116,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-04-10,CREDIT,29975
117,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-01-30,CREDIT,24764
118,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-03-05,CREDIT,76037
119,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-08-04,CREDIT,93119
120,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-07-14,CREDIT,23483
121,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-11-01,CREDIT,45531
122,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-04-28,DEBIT,5711
123,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-01-03,DEBIT,55788
124,8bac0a2d-f31a-4fc4-a5d2-2e86b379915b,2020-02-02,DEBIT,49184
125,58f0f395-35af-49fa-b107-e331d1cf0837,2020-01-22,CREDIT,64382
126,58f0f395-35af-49fa-b107-e331d1cf0837,2020-02-14,DEBIT,92773
127,58f0f395-35af-49fa-b107-e331d1cf0837,2020-01-26,DEBIT,90315
128,58f0f395-35af-49fa-b107-e331d1cf0837,2020-02-02,DEBIT,97461
129,58f0f395-35af-49fa-b107-e331d1cf0837,2020-09-18,CREDIT,26319
130,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-09-22,DEBIT,10659
131,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-12-14,CREDIT,77048
132,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-12-12,DEBIT,33690
133,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-04-22,DEBIT,87057
134,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-03-12,CREDIT,13143
135,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-01-14,CREDIT,5966
136,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-02-29,DEBIT,65404
137,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-03-26,DEBIT,96381
138,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-09-13,CREDIT,95702
139,a8fa434d-9532-4675-9deb-d8538a4f0089,2020-01-27,CREDIT,70108
140,af2ffb0c-6837-47dd-88df-e7b9f8285fc9,2020-06-29,CREDIT,51122
141,af2ffb0c-6837-47dd-88df-e7b9f8285fc9,2020-12-31,CREDIT,80608
142,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-02-06,DEBIT,40348
143,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-08-29,DEBIT,24562
144,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-07-29,CREDIT,87046
145,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-10-08,DEBIT,34739
146,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-01,DEBIT,20378
147,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-25,DEBIT,14275
148,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-31,DEBIT,92623
149,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-13,CREDIT,74588
150,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-26,DEBIT,31180
151,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-10-03,CREDIT,47739
152,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-08-11,CREDIT,58640
153,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-11-06,DEBIT,21524
154,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-25,DEBIT,71720
155,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-04-22,CREDIT,65476
156,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-04,CREDIT,77833
157,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-03-08,DEBIT,47078
158,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-12-20,CREDIT,86467
159,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-30,DEBIT,44920
160,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-18,DEBIT,52496
161,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-04-23,CREDIT,59584
162,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-12-02,CREDIT,83724
163,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-10,DEBIT,94347
164,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-09-20,CREDIT,13532
165,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-02-22,DEBIT,49858
166,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-10-07,DEBIT,75117
167,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-01-13,CREDIT,29582
168,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-11-20,CREDIT,40572
169,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-03-30,CREDIT,31305
170,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-08-22,DEBIT,19790
171,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-02-15,DEBIT,65417
172,8e9d63cd-ce72-48e7-9082-67164ec83468,2020-01-13,CREDIT,36307
173,6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-08,DEBIT,82443
174,6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-13,DEBIT,74796
175,6ad27dc7-9859-4353-ba12-991bec841c81,2020-10-15,CREDIT,55239
176,6ad27dc7-9859-4353-ba12-991bec841c81,2020-07-24,CREDIT,9764
177,6ad27dc7-9859-4353-ba12-991bec841c81,2020-05-23,DEBIT,19345
178,6ad27dc7-9859-4353-ba12-991bec841c81,2020-12-20,CREDIT,49158
179,6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-09,CREDIT,87827
180,6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-14,CREDIT,37153
181,6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-20,DEBIT,88464
182,6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-19,CREDIT,26050
183,6ad27dc7-9859-4353-ba12-991bec841c81,2020-02-24,CREDIT,43861
184,6ad27dc7-9859-4353-ba12-991bec841c81,2020-11-19,DEBIT,31329
185,6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-02,DEBIT,98288
186,6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-03,DEBIT,8265
187,6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-28,CREDIT,7071
188,6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-09,DEBIT,41697
189,6ad27dc7-9859-4353-ba12-991bec841c81,2020-05-31,DEBIT,55603
190,6ad27dc7-9859-4353-ba12-991bec841c81,2020-11-09,DEBIT,54127
191,6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-19,DEBIT,52820
192,6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-03,CREDIT,73620
193,6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-08,CREDIT,66209
194,6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-07,CREDIT,58381
195,6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-19,CREDIT,48216
196,6ad27dc7-9859-4353-ba12-991bec841c81,2020-12-29,DEBIT,22108
197,6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-13,CREDIT,34198
198,6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-19,DEBIT,33364
199,6ad27dc7-9859-4353-ba12-991bec841c81,2020-12-21,CREDIT,86784
200,6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-24,DEBIT,93755
201,6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-30,DEBIT,3198
202,6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-27,DEBIT,82542
203,6ad27dc7-9859-4353-ba12-991bec841c81,2020-10-10,DEBIT,86116
204,6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-24,CREDIT,26937
205,6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-23,CREDIT,89800
206,6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-30,CREDIT,27267
207,6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-23,DEBIT,35173
208,6ad27dc7-9859-4353-ba12-991bec841c81,2020-05-06,CREDIT,52997
209,6ad27dc7-9859-4353-ba12-991bec841c81,2020-10-08,DEBIT,22142
210,6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-31,DEBIT,58735
211,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-02-17,DEBIT,82777
212,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-29,CREDIT,54127
213,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-05,CREDIT,68852
214,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-08-11,DEBIT,358
215,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-11-24,DEBIT,57348
216,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-04-11,DEBIT,12712
217,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-04-02,DEBIT,26528
218,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-13,DEBIT,10800
219,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-04-10,CREDIT,39998
220,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-02-26,DEBIT,83416
221,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-11-28,CREDIT,57790
222,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-11,DEBIT,38277
223,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-03-24,CREDIT,56078
224,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-25,DEBIT,58926
225,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-18,CREDIT,96876
226,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-23,CREDIT,16210
227,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-21,CREDIT,91645
228,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-03-17,DEBIT,97961
229,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-29,CREDIT,95759
230,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-15,CREDIT,31431
231,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-03-04,DEBIT,74540
232,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-09,DEBIT,10843
233,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-27,DEBIT,86109
234,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-14,CREDIT,60748
235,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-02,CREDIT,76444
236,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-05-25,CREDIT,65776
237,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-18,DEBIT,67316
238,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-16,DEBIT,62736
239,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-23,DEBIT,44512
240,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-29,CREDIT,62258
241,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-07,DEBIT,61458
242,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-09,CREDIT,95752
243,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-09,CREDIT,79022
244,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-21,DEBIT,83455
245,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-23,CREDIT,6574
246,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-02,DEBIT,88765
247,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-30,CREDIT,19547
248,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-15,DEBIT,78217
249,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-19,CREDIT,61995
250,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-25,CREDIT,31035
251,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-11-23,DEBIT,3336
252,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-05-17,CREDIT,3641
253,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-06,CREDIT,49984
254,b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-28,DEBIT,29802
255,32045698-2650-4b46-98b7-c48afd73a975,2020-10-10,CREDIT,1118
256,32045698-2650-4b46-98b7-c48afd73a975,2020-05-11,CREDIT,93571
257,32045698-2650-4b46-98b7-c48afd73a975,2020-05-11,DEBIT,98453
258,32045698-2650-4b46-98b7-c48afd73a975,2020-02-07,DEBIT,12305
259,32045698-2650-4b46-98b7-c48afd73a975,2020-07-08,DEBIT,74675
260,32045698-2650-4b46-98b7-c48afd73a975,2020-09-30,DEBIT,30510
261,32045698-2650-4b46-98b7-c48afd73a975,2020-12-12,CREDIT,82108
262,32045698-2650-4b46-98b7-c48afd73a975,2020-11-20,DEBIT,30240
263,32045698-2650-4b46-98b7-c48afd73a975,2020-01-26,DEBIT,76532
264,32045698-2650-4b46-98b7-c48afd73a975,2020-03-29,CREDIT,39677
265,32045698-2650-4b46-98b7-c48afd73a975,2020-07-13,DEBIT,49427
266,32045698-2650-4b46-98b7-c48afd73a975,2020-02-12,DEBIT,59204
267,32045698-2650-4b46-98b7-c48afd73a975,2020-04-18,DEBIT,72012
268,32045698-2650-4b46-98b7-c48afd73a975,2020-05-26,CREDIT,57878
269,32045698-2650-4b46-98b7-c48afd73a975,2020-06-20,CREDIT,79399
270,32045698-2650-4b46-98b7-c48afd73a975,2020-10-24,CREDIT,47592
271,32045698-2650-4b46-98b7-c48afd73a975,2020-12-03,DEBIT,40681
272,32045698-2650-4b46-98b7-c48afd73a975,2020-02-08,CREDIT,94857
273,32045698-2650-4b46-98b7-c48afd73a975,2020-06-05,CREDIT,69863
274,32045698-2650-4b46-98b7-c48afd73a975,2020-09-03,CREDIT,65018
275,32045698-2650-4b46-98b7-c48afd73a975,2020-10-01,DEBIT,70449
276,32045698-2650-4b46-98b7-c48afd73a975,2020-01-08,DEBIT,97109
277,32045698-2650-4b46-98b7-c48afd73a975,2020-04-14,DEBIT,4723
278,32045698-2650-4b46-98b7-c48afd73a975,2020-05-29,CREDIT,73246
279,32045698-2650-4b46-98b7-c48afd73a975,2020-07-07,CREDIT,41364
280,32045698-2650-4b46-98b7-c48afd73a975,2020-08-26,CREDIT,94278
281,32045698-2650-4b46-98b7-c48afd73a975,2020-12-22,CREDIT,74592
282,32045698-2650-4b46-98b7-c48afd73a975,2020-04-30,CREDIT,14411
283,32045698-2650-4b46-98b7-c48afd73a975,2020-10-08,DEBIT,91063
284,32045698-2650-4b46-98b7-c48afd73a975,2020-07-24,DEBIT,26363
285,32045698-2650-4b46-98b7-c48afd73a975,2020-06-06,CREDIT,93506
286,32045698-2650-4b46-98b7-c48afd73a975,2020-08-30,DEBIT,79761
287,32045698-2650-4b46-98b7-c48afd73a975,2020-02-15,DEBIT,57638
288,32045698-2650-4b46-98b7-c48afd73a975,2020-09-01,DEBIT,28334
289,32045698-2650-4b46-98b7-c48afd73a975,2020-06-14,DEBIT,30913
290,32045698-2650-4b46-98b7-c48afd73a975,2020-02-28,CREDIT,14560
291,32045698-2650-4b46-98b7-c48afd73a975,2020-11-12,DEBIT,29908
292,32045698-2650-4b46-98b7-c48afd73a975,2020-08-09,CREDIT,52531
293,32045698-2650-4b46-98b7-c48afd73a975,2020-11-28,DEBIT,93289
294,32045698-2650-4b46-98b7-c48afd73a975,2020-06-24,DEBIT,90971
295,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-11-07,CREDIT,84800
296,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-01-09,DEBIT,28366
297,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-10-14,CREDIT,81023
298,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-06-24,DEBIT,98777
299,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-11-29,DEBIT,8157
300,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-04-27,CREDIT,30126
301,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-03-29,DEBIT,75158
302,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-05-15,DEBIT,79042
303,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-31,DEBIT,68746
304,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-06-25,CREDIT,86767
305,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-11-07,CREDIT,78002
306,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-12-14,CREDIT,54772
307,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-09-30,CREDIT,6751
308,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-19,DEBIT,78161
309,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-03-15,CREDIT,56187
310,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-01,DEBIT,31627
311,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-05,DEBIT,51792
312,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-09,CREDIT,82862
313,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-04-17,CREDIT,23746
314,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-01-23,CREDIT,70275
315,9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-08-14,DEBIT,9534
